selector,model,k,feature,fold_selection_count
chi2,random_forest,5,CheckSum,3
chi2,random_forest,5,ImageBase,3
chi2,random_forest,5,SectionsMinRawsize,3
chi2,random_forest,5,SizeOfStackReserve,3
chi2,random_forest,5,SizeOfCode,2
chi2,random_forest,5,SectionsMinVirtualsize,1
chi2,random_forest,10,CheckSum,3
chi2,random_forest,10,ImageBase,3
chi2,random_forest,10,SectionMaxRawsize,3
chi2,random_forest,10,SectionsMeanRawsize,3
chi2,random_forest,10,SectionsMinRawsize,3
chi2,random_forest,10,SizeOfCode,3
chi2,random_forest,10,SizeOfStackReserve,3
chi2,random_forest,10,SectionsMinVirtualsize,2
chi2,random_forest,10,SizeOfUninitializedData,2
chi2,random_forest,10,BaseOfCode,1
chi2,random_forest,10,Machine,1
chi2,random_forest,10,SectionMaxVirtualsize,1
chi2,random_forest,10,SectionsMeanVirtualsize,1
chi2,random_forest,10,SizeOfInitializedData,1
chi2,random_forest,20,AddressOfEntryPoint,3
chi2,random_forest,20,BaseOfCode,3
chi2,random_forest,20,CheckSum,3
chi2,random_forest,20,DllCharacteristics,3
chi2,random_forest,20,ImageBase,3
chi2,random_forest,20,Machine,3
chi2,random_forest,20,ResourcesMaxSize,3
chi2,random_forest,20,SectionMaxRawsize,3
chi2,random_forest,20,SectionsMeanRawsize,3
chi2,random_forest,20,SectionsMinRawsize,3
chi2,random_forest,20,SectionsMinVirtualsize,3
chi2,random_forest,20,SizeOfCode,3
chi2,random_forest,20,SizeOfHeapReserve,3
chi2,random_forest,20,SizeOfImage,3
chi2,random_forest,20,SizeOfStackReserve,3
chi2,random_forest,20,SizeOfUninitializedData,3
chi2,random_forest,20,BaseOfData,2
chi2,random_forest,20,Characteristics,2
chi2,random_forest,20,LoaderFlags,2
chi2,random_forest,20,SectionMaxVirtualsize,2
chi2,random_forest,20,SizeOfInitializedData,2
chi2,random_forest,20,ResourcesMeanSize,1
chi2,random_forest,20,SectionsMeanVirtualsize,1
chi2,svm,5,CheckSum,3
chi2,svm,5,ImageBase,3
chi2,svm,5,SectionsMinRawsize,3
chi2,svm,5,SizeOfStackReserve,3
chi2,svm,5,SizeOfCode,2
chi2,svm,5,SectionsMinVirtualsize,1
chi2,svm,10,CheckSum,3
chi2,svm,10,ImageBase,3
chi2,svm,10,SectionMaxRawsize,3
chi2,svm,10,SectionsMeanRawsize,3
chi2,svm,10,SectionsMinRawsize,3
chi2,svm,10,SizeOfCode,3
chi2,svm,10,SizeOfStackReserve,3
chi2,svm,10,SectionsMinVirtualsize,2
chi2,svm,10,SizeOfUninitializedData,2
chi2,svm,10,BaseOfCode,1
chi2,svm,10,Machine,1
chi2,svm,10,SectionMaxVirtualsize,1
chi2,svm,10,SectionsMeanVirtualsize,1
chi2,svm,10,SizeOfInitializedData,1
chi2,svm,20,AddressOfEntryPoint,3
chi2,svm,20,BaseOfCode,3
chi2,svm,20,CheckSum,3
chi2,svm,20,DllCharacteristics,3
chi2,svm,20,ImageBase,3
chi2,svm,20,Machine,3
chi2,svm,20,ResourcesMaxSize,3
chi2,svm,20,SectionMaxRawsize,3
chi2,svm,20,SectionsMeanRawsize,3
chi2,svm,20,SectionsMinRawsize,3
chi2,svm,20,SectionsMinVirtualsize,3
chi2,svm,20,SizeOfCode,3
chi2,svm,20,SizeOfHeapReserve,3
chi2,svm,20,SizeOfImage,3
chi2,svm,20,SizeOfStackReserve,3
chi2,svm,20,SizeOfUninitializedData,3
chi2,svm,20,BaseOfData,2
chi2,svm,20,Characteristics,2
chi2,svm,20,LoaderFlags,2
chi2,svm,20,SectionMaxVirtualsize,2
chi2,svm,20,SizeOfInitializedData,2
chi2,svm,20,ResourcesMeanSize,1
chi2,svm,20,SectionsMeanVirtualsize,1
info_gain,random_forest,5,Characteristics,3
info_gain,random_forest,5,ImageBase,3
info_gain,random_forest,5,SizeOfStackReserve,3
info_gain,random_forest,5,VersionInformationSize,3
info_gain,random_forest,5,ResourcesMinEntropy,2
info_gain,random_forest,5,ResourcesMinSize,1
info_gain,random_forest,10,Characteristics,3
info_gain,random_forest,10,ImageBase,3
info_gain,random_forest,10,ResourcesMinSize,3
info_gain,random_forest,10,SectionsMinRawsize,3
info_gain,random_forest,10,SizeOfStackReserve,3
info_gain,random_forest,10,VersionInformationSize,3
info_gain,random_forest,10,BaseOfData,2
info_gain,random_forest,10,MinorImageVersion,2
info_gain,random_forest,10,ResourcesMinEntropy,2
info_gain,random_forest,10,SectionsMinEntropy,2
info_gain,random_forest,10,DllCharacteristics,1
info_gain,random_forest,10,ImportsNb,1
info_gain,random_forest,10,SectionsMaxEntropy,1
info_gain,random_forest,10,SectionsMinVirtualsize,1
info_gain,random_forest,20,BaseOfData,3
info_gain,random_forest,20,Characteristics,3
info_gain,random_forest,20,DllCharacteristics,3
info_gain,random_forest,20,ImageBase,3
